A,gen,profits,revenues,costs,Y1,Y2,L1,L2,D1,D2,G1,G2,pD,pG1,pG2,YB
7.5,1.,0.0722530352293161,0.35800694264608757,0.2857539074167715,0.3568864021640515,0.057649090786731326,0.2923216922883515,0.050058294086647,1.810481064203729e-6,0.07462266627174155,0.5337024271635138,0.,0.15,0.1,1.e10,9.64199305689033
7.5,0.,0.04145949291293603,0.12335722740792127,0.08189773449498522,0.0693807731952079,0.01335255885807062,0.07561795319562555,0.014552917347896955,5.960606074242805e-7,5.960606074242805e-7,0.061741816914795945,0.01188242389528755,0.15,0.5,0.5,9.87664277131525
8.,0.,0.07245662164409367,0.21426618313557896,0.14180956149148527,0.25364350028326643,0.,0.2077565642812449,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.37931014623589626,0.,0.15,0.1,1.e10,9.78573381633929
8.,1.,0.08841513912247684,0.4040611015556539,0.31564596243317705,0.40213732631811444,0.0649585834471362,0.3293862275331755,0.05640533237498805,1.8102223769220503e-6,0.08408427233797491,0.6013727009504248,0.,0.15,0.1,1.e10,9.595938898034346
8.,0.,0.047091722895798604,0.13995860222095036,0.09286687932515175,0.0786734779158299,0.015140940673855184,0.08574605300662655,0.01650207101712425,5.960606074242805e-7,5.960606074242805e-7,0.07001137578276724,0.01347390120742101,0.15,0.5,0.5,9.860041396656024
8.5,0.,0.0815716663704581,0.24078801735383196,0.15921635098337386,0.2847777003403944,0.,0.23325824610714038,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.4258696320253047,0.,0.15,0.1,1.e10,9.75921198246576
8.5,1.,0.10544939655079014,0.45228792617402086,0.3468385296232307,0.44935698020310755,0.07258608985129979,0.3680633276916621,0.06302851095217528,1.8100079775782246e-6,0.0939575240388057,0.6719871019429454,0.,0.15,0.1,1.e10,9.547712073460383
8.5,0.,0.053066480324475696,0.15752914689437994,0.10446266656990424,0.08849705381401794,0.017031488702947722,0.09645274822510178,0.01856257543324336,5.960606074242805e-7,5.960606074242805e-7,0.07875335582250527,0.015156296022593637,0.15,0.5,0.5,9.842470852109463
9.,0.,0.09118496511110025,0.26865671491266757,0.17747174980156735,0.3174297433373602,0.,0.26000317625123565,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.4746989694867632,0.,0.15,0.1,1.e10,9.731343284982465
9.,1.,0.12332769738061344,0.5025627899142951,0.3792350925336817,0.498399256144375,0.08050800886735489,0.4082333175709362,0.06990733629070586,1.809828305558578e-6,0.10421187142793374,0.7453271341442478,0.,0.15,0.1,1.e10,9.497437209757315
9.,0.,0.05938002477474225,0.17605089980292568,0.11667087502818344,0.09883945314976864,0.0190218843548829,0.10772490804391402,0.020731903569099194,5.960606074242805e-7,5.960606074242805e-7,0.08795703577491909,0.016927545032070113,0.15,0.5,0.5,9.823949099306924
9.5,0.,0.10128765138104512,0.2978309428051358,0.1965432914240907,0.3515415588763571,0.,0.287943789723821,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.5257113183490697,0.,0.15,0.1,1.e10,9.7021690570729
9.5,1.,0.14202125701859722,0.5547599345728563,0.4127386775542591,0.5491173534925871,0.0887006283569583,0.44977595436959167,0.07702121831886367,1.8101939560397984e-6,0.1148166213831412,0.8211732647346682,0.,0.15,0.1,1.e10,9.445240065045951
9.5,0.,0.06602843766462518,0.19550513743121867,0.12947669976659348,0.10968813366346242,0.021109713869402316,0.11954886268001765,0.02300742467223253,5.960606074242805e-7,5.960606074242805e-7,0.0976112543089189,0.01878550023565342,0.15,0.5,0.5,9.804494861768182
10.,0.,0.11187053562389904,0.3282682038032576,0.21639766817935863,0.38705357205926577,0.,0.31703128983942197,1.7181818194091213e-7,5.960606074242822e-7,5.960606074242822e-7,0.5788175853237442,0.,0.15,0.1,1.e10,9.671731796055884
10.,1.,0.1615007466953453,0.6087531867118487,0.44725244001650344,0.6013646697381221,0.09714026522128008,0.4925711575829026,0.08434959267161753,1.8099701716372974e-6,0.12574111673554828,0.8993062588338536,0.,0.15,0.1,1.e10,9.391246812949776
10.,0.,0.07300762994761326,0.21587242448667363,0.14286479453906037,0.12103009451259397,0.02329247523228106,0.131910442541825,0.02538641180240044,5.960606074242805e-7,5.960606074242805e-7,0.10770444200144141,0.02072793509608947,0.15,0.5,0.5,9.784127574789096
